NAMA_RESEP,BAHAN,CARA_MEMBUAT,Jenis_Resep
Resep Tumis Ayam Jagung Manis ala Masako®,"1 kg Ayam, potong 10 bagian
85 gr Jagung pipil
1 bks Masako® Rasa Ayam 9 gr
1/2 bh Bawang bombay, potong dadu
1 bh Cabai merah besar
1 sdm Kecap manis
½ sdt Merica bubuk
100 ml Air
700 ml Minyak goreng1 kg Ayam, potong 10 bagian85 gr Jagung pipil1 bks Masako® Rasa Ayam 9 gr1/2 bh Bawang bombay, potong dadu1 bh Cabai merah besar1 sdm Kecap manis½ sdt Merica bubuk100 ml Air700 ml Minyak goreng","Langkah 1Panaskan minyak goreng. Goreng ayam hingga setengah matang, angkat dan tiriskan.Langkah 2Potong bawang bombay bentuk dadu, iris cabai merah.Langkah 3Panaskan 2 sdm minyak goreng di atas wajan. Tumis bawang bombay dan cabai merah hingga harum.Langkah 4Masukkan ayam yang telah digoreng, jagung pipil, merica, kecap, air dan Masako® Rasa Ayam, masak hingga bumbu meresap. Sajikan selagi hangat.",buah
Resep Roti Gulung Jagung Ala Masako®,"350 gr jagung
200 gr daging sapi giling
100 gr wortel
500 gr tepung panir
5 lbr roti tawar
3 bh telur, kocok lepas
5 siung bawang putih cincang
½ bh bawang bombay cincang
1 bks Masako Rasa Sapi 11 g350 gr jagung200 gr daging sapi giling100 gr wortel500 gr tepung panir5 lbr roti tawar3 bh telur, kocok lepas5 siung bawang putih cincang½ bh bawang bombay cincang1 bks Masako Rasa Sapi 11 g","Langkah 1Tumis bawang putih dan bawang bombay. Masukkan daging sapi giling, jagung, dan Masako Rasa Sapi lalu masak hingga matang.Langkah 2Letakkan tumisan tersebut di atas roti lalu gulung.Langkah 3Celupkan roti gulung ke dalam telur, balur dengan tepung panir, lalu goreng hingga berwarna kuning keemasan.Langkah 4Angkat dan sajikan.",buah
Resep Kacang Panjang Tumis Jagung ala AJI-NO-MOTO®,"100 gr Kacang Panjang
100 gr Jagung Pipilan
2 bh Sosis Sapi
1 sdt AJI-NO-MOTO®
3 siung Bawang Merah
3 siung Bawang Putih
2 bh Cabai Merah Besar
50 ml Air
¼ sdt Garam
3 sdm Minyak goreng100 gr Kacang Panjang100 gr Jagung Pipilan2 bh Sosis Sapi1 sdt AJI-NO-MOTO®3 siung Bawang Merah3 siung Bawang Putih2 bh Cabai Merah Besar50 ml Air¼ sdt Garam3 sdm Minyak goreng","Langkah 1Iris bawang putih, bawang merah, dan sosis, potong serong cabai keriting, potong kacang panjang, sisihkanLangkah 2Panaskan minyak, masukkan bawang putih, bawang merah, dan cabai keriting, tumis hingga harum.Langkah 3Masukkan kacang panjang, sosis, dan jagung manis, aduk rata.Langkah 4Tambahkan air, AJI-NO-MOTO®dan garam, masak hingga matang.",buah
Resep Jagung Mayo Keju,"- 200 gr Jagung Manis Pipilan
- 2 sdm Keju Parut
- 3 sdm Susu Kental Manis
- 1 bks Mayumi® Pedas- 200 gr Jagung Manis Pipilan- 2 sdm Keju Parut- 3 sdm Susu Kental Manis- 1 bks Mayumi® Pedas","Langkah 1Kukus jagung hingga matang, angkat, sisihkan.Langkah 2Campur jagung dengan susu kental manis dan Mayumi® Pedas, aduk rata.Langkah 3Sajikan dengan taburan keju parut.",buah
Resep Sup Jagung Sajiku®,"- 1 sdm minyak goreng
- 100 gr jagung manis
- 30 gr wortel
- 100 gr daging dada ayam tanpa tulang
- 2 lbr sawi putih
- 600 ml air
- 1 btr telur kocok
- 3 sdm maizena larutkan dengan 3 sdm air
- 1 bks Sajiku® Bumbu Sayur Sop
- 1 btg daun bawang- 1 sdm minyak goreng- 100 gr jagung manis- 30 gr wortel- 100 gr daging dada ayam tanpa tulang- 2 lbr sawi putih- 600 ml air- 1 btr telur kocok- 3 sdm maizena larutkan dengan 3 sdm air- 1 bks Sajiku® Bumbu Sayur Sop- 1 btg daun bawang","Langkah 1Potong wortel ukuran korek api, iris iris daun bawang, iris tipis sawi putih, potong dada ayam ukuran dadu , sisihkan.Langkah 2Panaskan minyak dalam wajan , masukkan, daging ayam jagung manis, dan wortel aduk sebentar hingga ayam berubah warna.Langkah 3Tambahkan air , dan Sajiku® Bumbu Sayur Sop, masak hingga ayam matang dan empuk.Langkah 4Tambahkan sawi putih, daun bawang dan larutan maizena , aduk sebentar. lalu masukkan telur kocok, aduk rata, masak hingga mendidih. Angkat , Sajikan.",buah
Resep Bakwan Jagung Sajiku®,"- 50 g udang kupas
- 150 g jagung manis
- 2 btr telur
- 1 bks Sajiku® Tepung Bumbu
- Minyak goreng secukupnya
Bahan pelengkap :
Saus sambal dan Mayumi®- 50 g udang kupas- 150 g jagung manis- 2 btr telur- 1 bks Sajiku® Tepung Bumbu- Minyak goreng secukupnyaBahan pelengkap :Saus sambal dan Mayumi®","Langkah 1Pisahkan 8 udang untuk topping. Cincang kasar sisa udang, sisihkan.Campurkan udang cincang, jagung, telur & Sajiku® Tepung Bumbu, aduk rata hingga menjadi adonan.Langkah 2Panaskan spatula kedalam minyak.Langkah 3Tuang adonan di spatula, tambahkan udang utuhLangkah 4Goreng semua adonan bakwan hingga matang kuning keemasan.",buah
Resep Nasi Tim Ayam Jagung,"- 500g Nasi aron
- 1 bh Dada ayam
- 1/2 bh Bawang bombay
- 100 g Jagung manis
- 6 sdm SAORI® Saus Teriyaki
- 5 sdm Minyak goreng
Pelengkap:
- Kuah kaldu
- Daun bawang- 500g Nasi aron- 1 bh Dada ayam- 1/2 bh Bawang bombay- 100 g Jagung manis- 6 sdm SAORI® Saus Teriyaki- 5 sdm Minyak gorengPelengkap:- Kuah kaldu- Daun bawang","Langkah 1Iris iris bawang bombay. Potong dadu dada ayam.Langkah 2Tumis bawang bombay hingga harum. Masukkan dada ayam, masak hingga matang.Langkah 3Masukkan jagung dan SAORI® Saus Teriyaki, aduk rata. Masak hingga kuah mengental, angkat, dan sisihkan.Langkah 4Masukkan tumisan dan nasi aron ke dalam wadah, kukus ± 30 menit, angkat, dan sajikan.",buah
Resep Mentimun Muda Cah,"- 5 bh mentimun muda, kupas, belah dua. Buang biji, iris tebal memanjang
- 200 gr udang segar kupas, sisakan ekor, sayat punggungnya, bersihkan
- 3 siung bawang putih, iris tipis
- 2 bh cabai merah keriting, buang biji, iris serong
- 2 bh cabai hijau, iris serong
- 4 btg seledri, potong-potong
- 1 sdt gula
- Garam secukupnya
- Merica secukupnya
- 1 sdm air jeruk nipis
- 3 sdm minyak goreng
- 1 bks Masako® Rasa Ayam 11 gr- 5 bh mentimun muda, kupas, belah dua. Buang biji, iris tebal memanjang- 200 gr udang segar kupas, sisakan ekor, sayat punggungnya, bersihkan- 3 siung bawang putih, iris tipis- 2 bh cabai merah keriting, buang biji, iris serong- 2 bh cabai hijau, iris serong- 4 btg seledri, potong-potong- 1 sdt gula- Garam secukupnya- Merica secukupnya- 1 sdm air jeruk nipis- 3 sdm minyak goreng- 1 bks Masako® Rasa Ayam 11 gr","Langkah 1Tumis bawang putih. Tambahkan cabai merah, cabai hijau, dan seledri.Langkah 2Masukkan udang, tumis hingga berubah warna. Bubuhi dengan gula, air jeruk nipis, dan Masako® Rasa Ayam.Langkah 3Masukkan mentimun, tambahkan garam dan merica, aduk rata. Sajikan.",buah
Resep Terong Panggang Teriyaki,"- 2 bh Terong Ungu
- 1 bks SAORI® Saus Teriyaki
- 2 sdm Minyak Goreng- 2 bh Terong Ungu- 1 bks SAORI® Saus Teriyaki- 2 sdm Minyak Goreng","Langkah 1Iris terong memanjang, sisihkan.Langkah 2Olesi terong dengan SAORI® Saus Teriyaki, sisihkan.Langkah 3Panaskan minyak goreng, panggang terong sambil diolesi bumbu SAORI® Saus Teriyaki, lakukan hingga terong matang, angkat dan sajikan.",buah
Resep Terong Crispy Sajiku®,"- 1 bh Terong Ungu (120 gr)
- 1 bks Sajiku® Tepung Bumbu 80 gr
- 4 sdm Air Es
- 700 ml Minyak Goreng- 1 bh Terong Ungu (120 gr)- 1 bks Sajiku® Tepung Bumbu 80 gr- 4 sdm Air Es- 700 ml Minyak Goreng","Langkah 1Potong terong menjadi 10 bagian, sisihkan.Langkah 2Buat adonan basah: campur 2 sdm Sajiku® Tepung Bumbu dengan air es, aduk rata sisihkan.Langkah 3Buat adonan kering: masukkan sisa Sajiku® Tepung Bumbu ke wadah terpisah.Langkah 4Masukkan terong ke dalam adonan basah, gulingkan, masukkan kembali ke dalam adonan kering, gulingkan, remas dan ketukan.Langkah 5Panaskan minyak goreng, masukkan terong, goreng hingga matang dan berwarna kuning keemasan. Angkat dan sajikan bersama bahan pelengkap.",buah
Resep Terong Balado AJI-NO-MOTO®,"- 2 bh Terong Ungu
- 4 bh Cabai Merah Keriting
- 3 siung Bawang Merah
- 2 siung Bawang Putih
- 2 ruas Laos
- 1 ruas Jahe
- ½ sdt Garam
- 1 sdt AJI-NO-MOTO®
- 3 sdm Minyak Goreng
- 100 ml Air- 2 bh Terong Ungu- 4 bh Cabai Merah Keriting- 3 siung Bawang Merah- 2 siung Bawang Putih- 2 ruas Laos- 1 ruas Jahe- ½ sdt Garam- 1 sdt AJI-NO-MOTO®- 3 sdm Minyak Goreng- 100 ml Air","Langkah 1Potong terong menjadi 8 bagian, geprek jahe dan laos, sisihkan.Langkah 2Buat bumbu halus: masukkan cabai merah keriting, bawang merah, bawang putih, 50 ml air, haluskan, sisihkan.Langkah 3Panaskan minyak goreng, masukkan bumbu halus, tambahkan jahe, laos, dan terong, aduk rata.Langkah 4Tambahkan sisa air, garam, dan AJI-NO-MOTO®, aduk rata, masak hingga matang.",buah
Resep Terong Kuah Siram,"- 2 bh Terong ungu, belah dua
- 1 bh Wortel
- 2 bh Cabai hijau
- 100 g Daging ayam cincang
- 1 siung Bawang putih
- 3 cm Jahe
- 6 sdm SAORI® Saus Tiram
- 100 ml Minyak goreng
- 2 sdt Tepung maizena, larutkan dalam 30 ml air- 2 bh Terong ungu, belah dua- 1 bh Wortel- 2 bh Cabai hijau- 100 g Daging ayam cincang- 1 siung Bawang putih- 3 cm Jahe- 6 sdm SAORI® Saus Tiram- 100 ml Minyak goreng- 2 sdt Tepung maizena, larutkan dalam 30 ml air","Langkah 1Potong potong terong, wortel, dan cabai hijau. Cincang bawang putih dan jahe.Langkah 2Goreng terong hingga setengah matang, tiriskan.Langkah 3Tumis bawang putih dan jahe, masukkan wortel dan daging ayam, masak hingga matang.Langkah 4Masukkan cabai, terong, dan SAORI® Saus Tiram, aduk rata. Tambahkan larutan maizena, masak hingga kuah mengental, angkat, dan sajikan.",buah
Resep Urap Terong,"- 4 bh terong, belah dua memanjang
- 50 g ikan teri kering
- 100 g kelapa parut
- 3 bh cabai merah besar, haluskan
- 3 sdm air asam jawa
- 1 sdm gula merah
- 1/2 sdt garam
- 1 sdt AJI-NO-MOTO®
- 8 sdm minyak (untuk panggang dan tumis)- 4 bh terong, belah dua memanjang- 50 g ikan teri kering- 100 g kelapa parut- 3 bh cabai merah besar, haluskan- 3 sdm air asam jawa- 1 sdm gula merah- 1/2 sdt garam- 1 sdt AJI-NO-MOTO®- 8 sdm minyak (untuk panggang dan tumis)","Langkah 1Terong belah dua, lumuri dengan garam di kedua sisisnya.Langkah 2Panggang terong hingga matang, angkat dan sisihkan.Langkah 3Tumis teri, cabai, kelapa parut, air asam, aduk rata.Langkah 4Masukkan gula merah, garam dan AJI-NO-MOTO® aduk rata, masak hingga matang, angkat, dan sajikan di atas terong.",buah
Resep Ayam Crispy Jeruk Purut,"- 4 bh Paha Ayam
- 1 sdt Kulit Jeruk Purut Parut
- 1 bks Sajiku® Tepung Bumbu Golden Crispy 80 gr
- 700 ml Minyak Goreng
- 5 sdm Air- 4 bh Paha Ayam- 1 sdt Kulit Jeruk Purut Parut- 1 bks Sajiku® Tepung Bumbu Golden Crispy 80 gr- 700 ml Minyak Goreng- 5 sdm Air","Langkah 1Buat adonan basah: Larutkan 1 sdm Sajiku® Tepung Bumbu Golden Crispy dengan air. Sisa Sajiku® Tepung Bumbu Golden Crispy digunakan sebagai adonan kering.Langkah 2Masukkan kulit jeruk purut parut ke adonan basah, aduk rata.Langkah 3Gulingkan ayam ke adonan kering, kemudian celupkan ke adonan basah hingga rata.Langkah 4Gulingkan kembali ayam ke adonan kering, sambil diremas-remas hingga terbentuk kulit tepung keriting. Ketuk-ketuk agar sisa tepung hilang.Langkah 5Panaskan minyak goreng, masukkan ayam, goreng hingga kuning kecoklatan.",buah
Resep Jamur Crispy Saus Jeruk,"- 300 g Jamur tiram
- 1 bks Sajiku® Tepung Bumbu (85 g)
- 175 ml Air (100 ml untuk Maizena, 75 ml untuk Sajiku® Tepung Bumbu)
- 1 L Minyak goreng (5 sdm untuk saus)
Saus :
- 1 bh Cabai merah
- 1 bh Cabai hijau
- 300 ml Jus jeruk manis
- 1 sdm Gula
- 1/2 sdt Garam
- 1 sdm Maizena- 300 g Jamur tiram- 1 bks Sajiku® Tepung Bumbu (85 g)- 175 ml Air (100 ml untuk Maizena, 75 ml untuk Sajiku® Tepung Bumbu)- 1 L Minyak goreng (5 sdm untuk saus)Saus :- 1 bh Cabai merah- 1 bh Cabai hijau- 300 ml Jus jeruk manis- 1 sdm Gula- 1/2 sdt Garam- 1 sdm Maizena","Langkah 1Iris iris cabai merah dan cabai hijau. Larutkan maizena. Tumis cabai hingga harum.Langkah 2Tambahkan jus jeruk manis, gula, dan garam, aduk rata, masak hingga mendidih. Masukkan larutan maizena, aduk rata, masak hingga matang, sisihkan.Langkah 3Larutkan Sajiku® Tepung Bumbu dengan air. Balut jamur dengan larutan Sajiku® hingga rata.Langkah 4Langsung goreng hingga kuning keemasan, angkat, tiriskan, dan sajikan dengan saus jeruk.",buah
Resep Pie Apel ala Mayumi®,"6 bh Roti Tawar
1 bks Mayumi® 100 gr
1 bh Apel Hijau
30 gr Keju6 bh Roti Tawar1 bks Mayumi® 100 gr1 bh Apel Hijau30 gr Keju","Langkah 1Potong apel bentuk dadu kecil, sisihkan.Langkah 2Buat adonan: Campurkan Mayumi®, apel, keju, dan, aduk rata.Langkah 3Taruh roti tawar dalam cetakan pie, lalu isi dengan adonan mayumi.Langkah 4Panggang pie dalam wajan anti lengket hingga roti kering, angkat dan sajikan.",buah
Resep Salad Buah Saus Strawberry,#ALL_SELECTORS_RETURN_NULL,#ALL_SELECTORS_RETURN_NULL,buah
Resep Pancake Mayo Strawberry,"- 50 gr Tepung Beras
- ½btr Telur
- 100 gr Buah Strawberry
- ½ sdt Pasta Pandan (Warna Merah)
- ¼sdt Garam
- 1 bks Mayumi® 100gr
- 100 ml Santan
- 1 sdm Minyak goreng- 50 gr Tepung Beras- ½btr Telur- 100 gr Buah Strawberry- ½ sdt Pasta Pandan (Warna Merah)- ¼sdt Garam- 1 bks Mayumi® 100gr- 100 ml Santan- 1 sdm Minyak goreng","Langkah 1Cincang strawberry, sisihkan.Langkah 2Buat adonan pancake: masukkan tepung beras, telur, santan, miyak goreng, garam dan pasta pandan, aduk rataLangkah 3Dadar adonan satu persatu dalam teflon datar 24 cm, masak hingga matangLangkah 4Buat isian: masukkan strawberry dan Mayumi®, aduk rata.Langkah 5Masukkan isian ke dalam pancake, lipat dan sajikan.",buah
Resep Tumis Kecipir,"- 50 gr Tepung Beras
- ½btr Telur
- 100 gr Buah Strawberry
- ½ sdt Pasta Pandan (Warna Merah)
- ¼sdt Garam
- 1 bks Mayumi® 100gr
- 100 ml Santan
- 1 sdm Minyak goreng- 50 gr Tepung Beras- ½btr Telur- 100 gr Buah Strawberry- ½ sdt Pasta Pandan (Warna Merah)- ¼sdt Garam- 1 bks Mayumi® 100gr- 100 ml Santan- 1 sdm Minyak goreng","Langkah 1Cincang strawberry, sisihkan.Langkah 2Buat adonan pancake: masukkan tepung beras, telur, santan, miyak goreng, garam dan pasta pandan, aduk rataLangkah 3Dadar adonan satu persatu dalam teflon datar 24 cm, masak hingga matangLangkah 4Buat isian: masukkan strawberry dan Mayumi®, aduk rata.Langkah 5Masukkan isian ke dalam pancake, lipat dan sajikan.",buah
Resep Cabai Isi Udang ala Sajiku®,"100 gr Udang Cincang
1 btr Telur
8 bh Cabai Merah Besar Buang Biji
2 bks Sajiku® Tepung Bumbu
1 btg Daun Bawang Lokio
600 ml Minyak Goreng
100 ml Air100 gr Udang Cincang1 btr Telur8 bh Cabai Merah Besar Buang Biji2 bks Sajiku® Tepung Bumbu1 btg Daun Bawang Lokio600 ml Minyak Goreng100 ml Air","Langkah 1Iris daun bawang lokio, sisihkan. Campur udang, daun bawang lokio, telur dan ½ bks Sajiku Tepung Bumbu, aduk rata.Langkah 2Ambil 1 bh cabai, isi dengan adonan udang, lakukan hingga adonan habis, sisihkan.Langkah 3Buat adonan basah: Campur ½ bks Sajiku® Tepung Bumbu dan air, aduk rata, sisihkan.
Buat adonan kering: Masukkan 1 bks Sajiku® Tepung Bumbu dalam wadah lainnya, sisihkan.Langkah 4Masukkan cabai isi ke dalam adonan basah, dan masukkan ke dalam adonan kering, gulingkan, dan ketukan, sisihkan.Langkah 5Panaskan minyak goreng, goreng cabai isi hingga matang,angkat dan sajikan.",buah
Resep Tahu Cabai Garam Ala Sajiku®,"-200 gr Tahu putih
- 1 bks Sajiku® Tepung Bumbu 80gr
- 50 ml Minyak goreng
- 1 btg Daun bawang
- 3 bh Cabai rawit hijau- 2 bh Cabai rawit merah
- 1 lbr Daun jeruk
- 3 siung Bawang putih
- 2 bh Cabai merah besar-200 gr Tahu putih- 1 bks Sajiku® Tepung Bumbu 80gr- 50 ml Minyak goreng- 1 btg Daun bawang- 3 bh Cabai rawit hijau- 2 bh Cabai rawit merah- 1 lbr Daun jeruk- 3 siung Bawang putih- 2 bh Cabai merah besar","Langkah 1Potong tahu bentuk daduLangkah 2Masukkan tahu ke dalam Sajiku® Tepung Bumbu, gulingkan. Goreng hingga matang dan berwarna keemasan, sisihkan.Langkah 3Iris tipis daun bawang, cabai merah besar, cabai rawit hijau dan merah, dan daun jeruk, cincang bawang putih.Langkah 4Panaskan 3 sdm minyak goreng, masukkan bawang putih, cabai merah besar, cabai rawit hijau dan merah, daun bawang dan daun jeruk, tumis hingga harum.Langkah 5Masukkan tahu yang telah digoreng, aduk rata dan sajikan.",buah
Resep Gabus Cabai Hijau Teriyaki,"- 1 ekor Ikan Asin Gabus Rebus
- 2 bh Cabai Hijau Besar
-bh Cabai Merah Besar
- 3 bh Bawang Merah
- ½ Bawang Bombay
- 1 bks Saori® Saus Teriyaki
- 500 ml Minyak Goreng
- 50 ml Air- 1 ekor Ikan Asin Gabus Rebus- 2 bh Cabai Hijau Besar-bh Cabai Merah Besar- 3 bh Bawang Merah- ½ Bawang Bombay- 1 bks Saori® Saus Teriyaki- 500 ml Minyak Goreng- 50 ml Air","Langkah 1Potong kecil ikan gabus. Iris serong cabai hijau, cabai merah, bawang merah,
bawang bombay, sisihkan.Langkah 2Panaskan minyak goreng, goreng ikan asin gabus hingga setengah kering, angkat, tiriskan.Langkah 3Panaskan 3 sdm minyak goreng dari sisa minyak yang ada, masukkan cabai hijau, cabai merah, bawang merah, bawang bombay, aduk hingga harum, tambahkan ikan asin, air, dan Saori® Saus Teriyaki, masak hingga matang. Angkat, sajikan.",buah
Resep Ikan Tongkol Cabai Hijau,"- 2 bh Ikan Tongkol Ukuran Sedang, Goreng ½ Matang
- 5 sdm Cabai Hijau Giling
- 6 bh Tomat Cherry Kecil
- ½ sdt Garam
- 2 sdt AJI-NO-MOTO®
- 4 sdm Minyak Goreng- 2 bh Ikan Tongkol Ukuran Sedang, Goreng ½ Matang- 5 sdm Cabai Hijau Giling- 6 bh Tomat Cherry Kecil- ½ sdt Garam- 2 sdt AJI-NO-MOTO®- 4 sdm Minyak Goreng","Langkah 1Bersihkan ikan tongkol, potong menjadi 8 bagian, sisihkan.Langkah 2Panaskan minyak goreng, masukkan ikan tongkol, tumis hingga kering.Langkah 3Tambahkan cabai hijau giling, tomat cherry, garam dan AJI-NO-MOTO®, aduk masak hingga matang. Angkat dan sajikan.",buah
Resep Perkedel Oncom Cabai Rawit,"- 200 gr Oncom
- 1 bks Sajiku® Tepung Bumbu 80gr
- 3 btr Telur
- 4 bh Cabai Rawit
- 1 sdm Daun Bawang Cincang
- 700 ml Minyak Goreng- 200 gr Oncom- 1 bks Sajiku® Tepung Bumbu 80gr- 3 btr Telur- 4 bh Cabai Rawit- 1 sdm Daun Bawang Cincang- 700 ml Minyak Goreng","Langkah 1Iris cabai rawit, kocok 2 butir telur, sisihkan.Langkah 2Panaskan 3 sdm minyak goreng, masukkan cabai rawit, oncom dan daun bawang, tumis hingga kecoklatan, angkat dan masukkan dalam wadah. Tambahkan 1 butir telur dan Sajiku® Tepung Bumbu, aduk rata.Langkah 3Bagi menjadi 8 buah, bentuk kotak pipih, celupkan dalam telur kocok.Langkah 4Panaskan sisa minyak goreng, masukkan perkedel oncom , goreng hingga matang kurang lebih 15 menit, angkat dan sajikan.",buah
Resep Udang Renyah Cabai Rawit,"- 200 g Udang
- 1 bks Sajiku® Tepung Bumbu (80 g)
- 4 sdm Air es
- 20 bh Cabai merah
- 6 siung Bawang merah
- 1 sdm Ebi (rendam dalam air selama ± 10 menit)
- 1/2 sdt Garam- Minyak goreng secukupnya- 200 g Udang- 1 bks Sajiku® Tepung Bumbu (80 g)- 4 sdm Air es- 20 bh Cabai merah- 6 siung Bawang merah- 1 sdm Ebi (rendam dalam air selama ± 10 menit)- 1/2 sdt Garam- Minyak goreng secukupnya","Langkah 1Buat adonan basah: Larutkan 1 sdm Sajiku® Tepung Bumbu dengan 4 sdm air. Sisa digunakan sebagai adonan kering.Langkah 2Celupkan udang ke dalam adonan basah hingga rata lalu gulingkan ke dalam adonan kering, balut hingga rata.Langkah 3Goreng udang hingga kuning keemasan, tiriskan.Langkah 4Iris iris bawang merah dan cabai rawit. Cincang halus ebi. Campur semua bahan, tambahkan garam dan minyak panas (+/- 100 ml). Sajikan sambal bersama udang crispy.",buah
